designation,is_welded,is_angle,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw_w,Av_y,Av_z,iy,iz,ys,ym
MC 250 x 50,0,0,254.0,104.0,14.6,14.6,,178.0,0.00637,5.75e-05,0.0004528,0.000558,4.98e-06,6.379999999999999e-05,0.000126,5.8e-07,5.27e-08,5.713021974999999e-06,0.0026616,0.003792,95.2,28.0,25.5,47.4
MC 250 x 61.2,0,0,254.0,110.0,20.2,14.6,,170.0,0.0078099999999999,6.55e-05,0.0005158,0.000654,5.82e-06,6.92e-05,0.000146,1.24e-06,6.52e-08,6.557202151e-06,0.0026791999999999,0.005173,91.7,27.3,25.9,43.2
MC 310 x 15.8,0,0,305.0,38.0,4.8,7.8,,262.0,0.002,2.338e-05,0.0001533,0.000196,1.59e-07,5.0800000000000005e-06,1.08e-05,3.2e-08,3.22e-09,5.752481474999999e-07,0.000536,0.001546,107.79999999999998,8.9,6.9,13.0
MC 310 x 46,0,0,305.0,93.0,9.4,17.8,,225.0,0.00589,8.292e-05,0.0005437,0.000661,4.36e-06,6.5e-05,0.000129,5.34e-07,7.06e-08,6.0745216725e-06,0.003023,0.003137,120.0,27.4,26.1,53.2
MC 310 x 52,0,0,305.0,96.0,11.8,17.8,,218.0,0.00662,8.998e-05,0.0005901,0.000726,4.87e-06,6.87e-05,0.000138,7.009999999999999e-07,8.21e-08,6.7458718125e-06,0.003021,0.003908,116.7,27.1,25.5,50.0
MC 310 x 60,0,0,305.0,98.0,15.0,17.8,,214.0,0.00761,9.732e-05,0.0006382,0.000798,5.26e-06,7.15e-05,0.000146,9.77e-07,9.15e-08,7.272471240000003e-06,0.0030349999999999,0.004871,113.3,26.3,24.8,45.7
MC 310 x 67,0,0,305.0,102.0,18.0,17.8,,214.0,0.008502,0.0001051,0.000689,0.000873,5.97e-06,7.75e-05,0.000161,1.31e-06,1.05e-07,7.984552452499998e-06,0.003012,0.0057399999999999,111.0,26.5,25.3,44.1
MC 310 x 74,0,0,305.0,105.0,21.2,17.8,,222.0,0.00948,0.0001114,0.0007307,0.000939,6.64e-06,8.35e-05,0.000175,1.64e-06,1.16e-07,8.4920553725e-06,0.003014,0.006589,108.7,26.5,25.9,42.4
MC 330 x 47.3,0,0,330.0,102.0,9.5,15.5,,242.0,0.00603,9.986e-05,0.0006052,0.000739,5e-06,6.51e-05,0.000136,5.34e-07,1.07e-07,7.424985149999999e-06,0.0028949999999999,0.0035039999999999,128.7,28.8,25.8,53.4
MC 330 x 52,0,0,330.0,103.0,11.4,15.5,,242.0,0.00664,0.000105,0.0006361,0.000786,5.26e-06,6.7e-05,0.00014,6.45e-07,1.15e-07,7.779915e-06,0.002878,0.004105,125.8,28.2,25.0,50.3
