designation,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tci 152.4 x 5,152.4,,5.0,0.00232,6.3e-06,8.259999999999999e-05,0.00010899999999999999,6.3e-06,8.259999999999999e-05,0.00010899999999999999,1.259e-05,0.0014769578718927887,0.0014769578718927887
Tci 152.4 x 6,152.4,,6.0,0.0027600000000000003,7.41e-06,9.72e-05,0.000129,7.41e-06,9.72e-05,0.000129,1.481e-05,0.0017570705717345249,0.0017570705717345249
Tci 168.3 x 3,168.3,,3.0,0.001557,5.3201300000000005e-06,6.322e-05,8.198099999999999e-05,5.3201300000000005e-06,6.322e-05,8.198099999999999e-05,1.06403e-05,0.0009912169855763242,0.0009912169855763242
Tci 168.3 x 4,168.3,,4.0,0.0020640000000000003,6.967380000000001e-06,8.28e-05,0.000107999,6.967380000000001e-06,8.28e-05,0.000107999,1.39348e-05,0.0013139832101666882,0.0013139832101666882
Tci 168.3 x 5,168.3,,5.0,0.0025640000000000003,8.55412e-06,0.00010165,0.000133376,8.55412e-06,0.00010165,0.000133376,1.71082e-05,0.0016322930963504787,0.0016322930963504787
Tci 193.7 x 3,193.7,,3.0,0.0018000000000000002,8.17e-06,8.44e-05,0.00010899999999999999,8.17e-06,8.44e-05,0.00010899999999999999,1.634e-05,0.0011459155902616466,0.0011459155902616466
Tci 193.7 x 3.2,193.7,,3.2,0.00192,8.69e-06,8.97e-05,0.000116,8.69e-06,8.97e-05,0.000116,1.738e-05,0.0012223099629457563,0.0012223099629457563
Tci 193.7 x 4,193.7,,4.0,0.002383,1.072247e-05,0.00011070999999999999,0.000143966,1.072247e-05,0.00011070999999999999,0.000143966,2.14449e-05,0.0015170649175519466,0.0015170649175519466
Tci 193.7 x 5,193.7,,5.0,0.002963,1.3195630000000002e-05,0.00013625,0.00017808,1.3195630000000002e-05,0.00013625,0.00017808,2.6391300000000003e-05,0.0018863043855251436,0.0018863043855251436
Tci 219.1 x 3,219.1,,3.0,0.00204,1.189e-05,0.00010899999999999999,0.00014,1.189e-05,0.00010899999999999999,0.00014,2.378e-05,0.001298704335629866,0.001298704335629866
Tci 219.1 x 3.2,219.1,,3.2,0.00217,1.2650000000000001e-05,0.00011499999999999999,0.000149,1.2650000000000001e-05,0.00011499999999999999,0.000149,2.5300000000000002e-05,0.0013814649060376516,0.0013814649060376516
Tci 219.1 x 4,219.1,,4.0,0.002702,1.563043e-05,0.00014268,0.00018509299999999997,1.563043e-05,0.00014268,0.00018509299999999997,3.1260900000000004e-05,0.001720146624937205,0.001720146624937205
Tci 219.1 x 5,219.1,,5.0,0.0033610000000000003,1.927065e-05,0.00017591,0.00022923599999999999,1.927065e-05,0.00017591,0.00022923599999999999,3.85413e-05,0.0021396790549274413,0.0021396790549274413
Tci 244.5 x 4,244.5,,4.0,0.00302,2.186e-05,0.000179,0.00023099999999999998,2.186e-05,0.000179,0.00023099999999999998,4.371e-05,0.0019225917125500957,0.0019225917125500957
Tci 273 x 4,273.0,,4.0,0.0033799999999999998,3.058e-05,0.000224,0.000289,3.058e-05,0.000224,0.000289,6.116e-05,0.002151774830602425,0.002151774830602425
Tci 273 x 5,273.0,,5.0,0.004208,3.778898e-05,0.00027684,0.00035916199999999995,3.778898e-05,0.00027684,0.00035916199999999995,7.5578e-05,0.0026788960021227825,0.0026788960021227825
Tci 273 x 6,273.0,,6.0,0.00503,4.484809e-05,0.00032856,0.000427806,4.484809e-05,0.00032856,0.000427806,8.96962e-05,0.003202197455008934,0.003202197455008934
Tci 323.9 x 4,323.9,,4.0,0.00402,5.143e-05,0.000318,0.00040899999999999997,5.143e-05,0.000318,0.00040899999999999997,0.00010286,0.0025592114849176772,0.0025592114849176772
Tci 323.9 x 6,323.9,,6.0,0.005989,7.568628e-05,0.00046733999999999995,0.000606434,7.568628e-05,0.00046733999999999995,0.000606434,0.0001513726,0.0038127158167094452,0.0038127158167094452
Tci 355.6 x 5,355.6,,5.0,0.005504,8.459286e-05,0.00047578,0.000614643,8.459286e-05,0.00047578,0.000614643,0.0001691857,0.003503955227111168,0.003503955227111168
Tci 355.6 x 6,355.6,,6.0,0.006586,0.00010065447000000001,0.00056611,0.000733393,0.00010065447000000001,0.00056611,0.000733393,0.00020130889999999999,0.004192777820812891,0.004192777820812891
Tci 406.4 x 5,406.4,,5.0,0.0063100000000000005,0.00012701,0.000625,0.000806,0.00012701,0.000625,0.000806,0.00025401,0.004017070763639438,0.004017070763639438
Tci 406.4 x 6,406.4,,6.0,0.007544,0.00015120656000000001,0.00074413,0.000961993,0.00015120656000000001,0.00074413,0.000961993,0.0003024131,0.004802659562741034,0.004802659562741034
Tci 457.2 x 6.3,457.2,,6.3,0.00892,0.00022672828,0.0009918099999999999,0.001280941,0.00022672828,0.0009918099999999999,0.001280941,0.0004534566,0.005678648369518827,0.005678648369518827
Tci 508 x 6.3,508.0,,6.3,0.009925,0.00031230648,0.0012295499999999998,0.0015858119999999998,0.00031230648,0.0012295499999999998,0.0015858119999999998,0.000624613,0.006318451240748245,0.006318451240748245
s Tca 15 x 15x 1.5,15.0,15.0,1.5,7.52e-09,2.1900000000000002e-17,2.9199999999999997e-13,3.7e-13,2.1900000000000002e-17,2.9199999999999997e-13,3.7e-13,3.85e-17,3.76e-09,3.76e-09
