designation,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tca 80 x 80 x 5,80.0,80.0,5.0,0.001436,1.3144e-06,3.286e-05,3.9729999999999994e-05,1.3144e-06,3.286e-05,3.9729999999999994e-05,2.1783e-06,0.000718,0.000718
Tca 80 x 80 x 6,80.0,80.0,6.0,0.0016829999999999998,1.4918e-06,3.729e-05,4.578e-05,1.4918e-06,3.729e-05,4.578e-05,2.5207e-06,0.0008414999999999999,0.0008414999999999999
Tca 90 x 90 x 3,90.0,90.0,3.0,0.0010210000000000002,1.2728000000000001e-06,2.828e-05,3.3039999999999995e-05,1.2728000000000001e-06,2.828e-05,3.3039999999999995e-05,2.0141999999999997e-06,0.0005105000000000001,0.0005105000000000001
Tca 90 x 90 x 4,90.0,90.0,4.0,0.001335,1.6191e-06,3.598e-05,4.2579999999999996e-05,1.6191e-06,3.598e-05,4.2579999999999996e-05,2.6080000000000003e-06,0.0006675,0.0006675
Tca 90 x 90 x 5,90.0,90.0,5.0,0.001636,1.9292e-06,4.2869999999999994e-05,5.141e-05,1.9292e-06,4.2869999999999994e-05,5.141e-05,3.1626e-06,0.000818,0.000818
Tca 90 x 90 x 6,90.0,90.0,6.0,0.0019230000000000002,2.2047e-06,4.899e-05,5.9539999999999996e-05,2.2047e-06,4.899e-05,5.9539999999999996e-05,3.6776e-06,0.0009615000000000001,0.0009615000000000001
Tca 100 x 100 x 3,100.0,100.0,3.0,0.001141,1.7704e-06,3.5409999999999995e-05,4.121e-05,1.7704e-06,3.5409999999999995e-05,4.121e-05,2.7868e-06,0.0005705,0.0005705
Tca 100 x 100 x 4,100.0,100.0,4.0,0.001495,2.2634000000000002e-06,4.527e-05,5.3299999999999995e-05,2.2634000000000002e-06,4.527e-05,5.3299999999999995e-05,3.6201e-06,0.0007475,0.0007475
Tca 100 x 100 x 5,100.0,100.0,5.0,0.001836,2.7108999999999997e-06,5.422e-05,6.459e-05,2.7108999999999997e-06,5.422e-05,6.459e-05,4.4052e-06,0.000918,0.000918
Tca 100 x 100 x 6,100.0,100.0,6.0,0.002163,3.1146e-06,6.229e-05,7.509e-05,3.1146e-06,6.229e-05,7.509e-05,5.1416e-06,0.0010815,0.0010815
Tca 100 x 100 x 7,100.0,100.0,7.0,0.00244,3.37e-06,6.74e-05,8.27e-05,3.37e-06,6.74e-05,8.27e-05,5.83e-06,0.00122,0.00122
Tca 120 x 120 x 3,120.0,120.0,3.0,0.001381,3.1233e-06,5.206e-05,6.022999999999999e-05,3.1233e-06,5.206e-05,6.022999999999999e-05,4.8772000000000005e-06,0.0006905,0.0006905
Tca 120 x 120 x 4,120.0,120.0,4.0,0.001815,4.0226e-06,6.704000000000001e-05,7.832e-05,4.0226e-06,6.704000000000001e-05,7.832e-05,6.365700000000001e-06,0.0009075,0.0009075
Tca 120 x 120 x 5,120.0,120.0,5.0,0.002236,4.8545e-06,8.091e-05,9.544e-05,4.8545e-06,8.091e-05,9.544e-05,7.785000000000001e-06,0.001118,0.001118
Tca 120 x 120 x 6,120.0,120.0,6.0,0.002643,5.6213e-06,9.368999999999999e-05,0.00011159999999999999,5.6213e-06,9.368999999999999e-05,0.00011159999999999999,9.1346e-06,0.0013215,0.0013215
Tca 120 x 120 x 7,120.0,120.0,7.0,0.003,6.17e-06,0.000103,0.000124,6.17e-06,0.000103,0.000124,1.044e-05,0.0015,0.0015
Tca 140 x 140 x 3,140.0,140.0,3.0,0.00162,5.03e-06,7.19e-05,8.29e-05,5.03e-06,7.19e-05,8.29e-05,7.81e-06,0.00081,0.00081
Tca 140 x 140 x 4,140.0,140.0,4.0,0.002135,6.515900000000001e-06,9.308e-05,0.00010815,6.515900000000001e-06,9.308e-05,0.00010815,1.02332e-05,0.0010675,0.0010675
Tca 140 x 140 x 5,140.0,140.0,5.0,0.002636,7.9052e-06,0.00011293,0.00013230000000000002,7.9052e-06,0.00011293,0.00013230000000000002,1.25576e-05,0.001318,0.001318
Tca 140 x 140 x 6,140.0,140.0,6.0,0.0031230000000000003,9.2038e-06,0.00013147999999999998,0.00015532,9.2038e-06,0.00013147999999999998,0.00015532,1.47877e-05,0.0015615000000000002,0.0015615000000000002
Tca 150 x 150 x 3,150.0,150.0,3.0,0.00174,6.2300000000000005e-06,8.3e-05,9.549999999999999e-05,6.2300000000000005e-06,8.3e-05,9.549999999999999e-05,9.65e-06,0.00087,0.00087
Tca 150 x 150 x 4,150.0,150.0,4.0,0.002295,8.077799999999999e-06,0.0001077,0.00012486,8.077799999999999e-06,0.0001077,0.00012486,1.26476e-05,0.0011475,0.0011475
Tca 150 x 150 x 5,150.0,150.0,5.0,0.002836,9.8207e-06,0.00013094,0.00015297,9.8207e-06,0.00013094,0.00015297,1.55413e-05,0.001418,0.001418
Tca 150 x 150 x 6,150.0,150.0,6.0,0.0033630000000000005,1.1458399999999999e-05,0.00015277999999999998,0.00017987,1.1458399999999999e-05,0.00015277999999999998,0.00017987,1.8326900000000002e-05,0.0016815000000000003,0.0016815000000000003
Tca 160 x 160 x 4,160.0,160.0,4.0,0.002455,9.8713e-06,0.00012339,0.00014277999999999998,9.8713e-06,0.00012339,0.00014277999999999998,1.54145e-05,0.0012275,0.0012275
Tca 160 x 160 x 5,160.0,160.0,5.0,0.003036,1.2023e-05,0.00015028999999999997,0.00017515,1.2023e-05,0.00015028999999999997,0.00017515,1.8963199999999998e-05,0.001518,0.001518
