designation,is_welded,is_circular,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tca 100 x 100 x 7,0,0,100.0,100.0,7.0,0.00244,3.37e-06,6.74e-05,8.27e-05,3.37e-06,6.74e-05,8.27e-05,5.83e-06,0.00122,0.00122
Tca 120 x 120 x 3,0,0,120.0,120.0,3.0,0.001381,3.1233e-06,5.206e-05,6.022999999999999e-05,3.1233e-06,5.206e-05,6.022999999999999e-05,4.8772000000000005e-06,0.0006905,0.0006905
Tca 120 x 120 x 4,0,0,120.0,120.0,4.0,0.001815,4.0226e-06,6.704000000000001e-05,7.832e-05,4.0226e-06,6.704000000000001e-05,7.832e-05,6.365700000000001e-06,0.0009075,0.0009075
Tca 120 x 120 x 5,0,0,120.0,120.0,5.0,0.002236,4.8545e-06,8.091e-05,9.544e-05,4.8545e-06,8.091e-05,9.544e-05,7.785000000000001e-06,0.001118,0.001118
Tca 120 x 120 x 6,0,0,120.0,120.0,6.0,0.002643,5.6213e-06,9.369e-05,0.0001115999999999,5.6213e-06,9.369e-05,0.0001115999999999,9.1346e-06,0.0013215,0.0013215
Tca 120 x 120 x 7,0,0,120.0,120.0,7.0,0.003,6.17e-06,0.000103,0.000124,6.17e-06,0.000103,0.000124,1.044e-05,0.0015,0.0015
Tca 140 x 140 x 3,0,0,140.0,140.0,3.0,0.00162,5.03e-06,7.19e-05,8.29e-05,5.03e-06,7.19e-05,8.29e-05,7.81e-06,0.00081,0.00081
Tca 140 x 140 x 4,0,0,140.0,140.0,4.0,0.002135,6.515900000000001e-06,9.308e-05,0.00010815,6.515900000000001e-06,9.308e-05,0.00010815,1.02332e-05,0.0010675,0.0010675
Tca 140 x 140 x 5,0,0,140.0,140.0,5.0,0.002636,7.9052e-06,0.00011293,0.0001323,7.9052e-06,0.00011293,0.0001323,1.25576e-05,0.001318,0.001318
Tca 140 x 140 x 6,0,0,140.0,140.0,6.0,0.003123,9.2038e-06,0.0001314799999999,0.00015532,9.2038e-06,0.0001314799999999,0.00015532,1.47877e-05,0.0015615,0.0015615
Tca 150 x 150 x 3,0,0,150.0,150.0,3.0,0.00174,6.2300000000000005e-06,8.3e-05,9.55e-05,6.2300000000000005e-06,8.3e-05,9.55e-05,9.65e-06,0.00087,0.00087
Tca 150 x 150 x 4,0,0,150.0,150.0,4.0,0.002295,8.077799999999999e-06,0.0001077,0.00012486,8.077799999999999e-06,0.0001077,0.00012486,1.26476e-05,0.0011475,0.0011475
Tca 150 x 150 x 5,0,0,150.0,150.0,5.0,0.002836,9.8207e-06,0.00013094,0.00015297,9.8207e-06,0.00013094,0.00015297,1.55413e-05,0.001418,0.001418
Tca 150 x 150 x 6,0,0,150.0,150.0,6.0,0.003363,1.14584e-05,0.0001527799999999,0.00017987,1.14584e-05,0.0001527799999999,0.00017987,1.83269e-05,0.0016815,0.0016815
Tca 160 x 160 x 4,0,0,160.0,160.0,4.0,0.002455,9.8713e-06,0.00012339,0.0001427799999999,9.8713e-06,0.00012339,0.0001427799999999,1.54145e-05,0.0012275,0.0012275
Tca 160 x 160 x 5,0,0,160.0,160.0,5.0,0.003036,1.2023e-05,0.0001502899999999,0.00017515,1.2023e-05,0.0001502899999999,0.00017515,1.89632e-05,0.001518,0.001518
Tca 160 x 160 x 6,0,0,160.0,160.0,6.0,0.003603,1.4054100000000002e-05,0.00017568,0.0002062299999999,1.4054100000000002e-05,0.00017568,0.0002062299999999,2.2389e-05,0.0018015,0.0018015
Tca 180 x 180 x 4,0,0,180.0,180.0,4.0,0.002775,1.42169e-05,0.0001579699999999,0.0001821999999999,1.42169e-05,0.0001579699999999,0.0001821999999999,2.21016e-05,0.0013875,0.0013875
Tca 180 x 180 x 5,0,0,180.0,180.0,5.0,0.003436,1.73679e-05,0.0001929799999999,0.00022401,1.73679e-05,0.0001929799999999,0.00022401,2.72416e-05,0.001718,0.001718
Tca 180 x 180 x 6,0,0,180.0,180.0,6.0,0.004083,2.03642e-05,0.00022627,0.0002643399999999,2.03642e-05,0.00022627,0.0002643399999999,3.22265e-05,0.0020415,0.0020415
Tca 180 x 180 x 8,0,0,180.0,180.0,8.0,0.005284,2.54574e-05,0.00028286,0.00033567,2.54574e-05,0.00028286,0.00033567,4.18856e-05,0.002642,0.002642
Tca 200 x 200 x 4,0,0,200.0,200.0,4.0,0.003095,1.96807e-05,0.0002399999999999,0.0002749999999999,1.96807e-05,0.0002399999999999,0.0002749999999999,4.076e-05,0.0015475,0.0015475
Tca 200 x 200 x 5,0,0,200.0,200.0,5.0,0.003836,2.40999e-05,0.0001968099999999,0.0002264299999999,2.40999e-05,0.0001968099999999,0.0002264299999999,3.04866e-05,0.001918,0.001918
Tca 200 x 200 x 6,0,0,200.0,200.0,6.0,0.004563,2.83262e-05,0.0002409999999999,0.00027886,2.83262e-05,0.0002409999999999,0.00027886,3.7633e-05,0.0022815,0.0022815
Tca 220 x 220 x 4,0,0,220.0,220.0,4.0,0.00341,2.639e-05,0.0002832599999999,0.0003296499999999,2.639e-05,0.0002832599999999,0.0003296499999999,4.458810000000001e-05,0.001705,0.001705
Tca 250 x 250 x 4,0,0,250.0,250.0,4.0,0.00389,3.907e-05,0.0003129999999999,0.000358,3.907e-05,0.0003129999999999,0.000358,6.014e-05,0.001945,0.001945
Tca 260 x 260 x 4,0,0,260.0,260.0,4.0,0.00405,4.406e-05,0.000339,0.000388,4.406e-05,0.000339,0.000388,6.775000000000001e-05,0.002025,0.002025
Tca 260 x 260 x 5,0,0,260.0,260.0,5.0,0.00504,5.422e-05,0.000417,0.000479,5.422e-05,0.000417,0.000479,8.388e-05,0.00252,0.00252
Tca 300 x 300 x 5,0,0,300.0,300.0,5.0,0.00584,8.417e-05,0.000561,0.000643,8.417e-05,0.000561,0.000643,0.00012968,0.00292,0.00292
